ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
YNL027W	DNA-binding transcription factor CRZ1(CRZ1)	Saccharomyces cerevisiae S288C	General function prediction only,	GO:0006038~cell wall chitin biosynthetic process,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0007329~positive regulation of transcription from RNA polymerase II promoter by pheromones,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050801~ion homeostasis,GO:0061400~positive regulation of transcription from RNA polymerase II promoter in response to calcium ion,GO:0061404~positive regulation of transcription from RNA polymerase II promoter in response to increased salt,GO:0061422~positive regulation of transcription from RNA polymerase II promoter in response to alkaline pH,GO:0061423~positive regulation of sodium ion transport by positive regulation of transcription from RNA polymerase II promoter,GO:0071483~cellular response to blue light,GO:0097301~regulation of potassium ion concentration by positive regulation of transcription from RNA polymerase II promoter,GO:1900622~positive regulation of transcription from RNA polymerase II promoter by calcium-mediated signaling,GO:2001040~positive regulation of cellular response to drug,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,		SM00355:ZnF_C2H2,	Complete proteome,Cytoplasm,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Transcriptional regulator CRZ1,compositionally biased region:Poly-Asn,compositionally biased region:Poly-Gln,modified residue,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,
YML007W	DNA-binding transcription factor YAP1(YAP1)	Saccharomyces cerevisiae S288C		GO:0000304~response to singlet oxygen,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0009408~response to heat,GO:0010038~response to metal ion,GO:0042493~response to drug,GO:0043619~regulation of transcription from RNA polymerase II promoter in response to oxidative stress,GO:0046686~response to cadmium ion,GO:0061395~positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance,GO:1900101~regulation of endoplasmic reticulum unfolded protein response,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR004827:Basic-leucine zipper domain,IPR013910:Transcription factor PAP1,IPR023167:Yap1 redox domain,		SM00338:BRLZ,	3D-structure,Activator,Cadmium resistance,Complete proteome,Cytoplasm,Disulfide bond,DNA-binding,Nucleus,Oxidation,Phosphoprotein,Reference proteome,Repeat,Transcription,Transcription regulation,	chain:AP-1-like transcription factor YAP1,compositionally biased region:Poly-Asn,compositionally biased region:Poly-Asp,disulfide bond,DNA-binding region:Basic motif,domain:Leucine-zipper,helix,modified residue,mutagenesis site,region of interest:Transcription activation 1,region of interest:Transcription activation 2,sequence conflict,short sequence motif:Nuclear export signal,short sequence motif:Nuclear localization signal,strand,turn,
YKL185W	DNA-binding transcription repressor ASH1(ASH1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0016569~covalent chromatin modification,GO:1900461~positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter,GO:1900474~negative regulation of mating type switching by negative regulation of transcription from RNA polymerase II promoter,GO:1900477~negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005667~transcription factor complex,GO:0005933~cellular bud,GO:0033698~Rpd3L complex,GO:0070210~Rpd3L-Expanded complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001085~RNA polymerase II transcription factor binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR000679:Zinc finger, GATA-type,IPR013088:Zinc finger, NHR/GATA-type,		SM00401:ZnF_GATA,	Chromatin regulator,Complete proteome,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Repressor,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Transcriptional regulatory protein ASH1,modified residue,zinc finger region:GATA-type; atypical,
YKL032C	DNA-binding transcription repressor IXR1(IXR1)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006281~DNA repair,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0071456~cellular response to hypoxia,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,	GO:0003677~DNA binding,GO:0003684~damaged DNA binding,GO:0043565~sequence-specific DNA binding,	IPR009071:High mobility group (HMG) box domain,		SM00398:HMG,	Activator,Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Repeat,Transcription,Transcription regulation,	chain:Intrastrand cross-link recognition protein,compositionally biased region:Gln-rich,DNA-binding region:HMG box 1,DNA-binding region:HMG box 2,modified residue,sequence conflict,
YDR207C	DNA-binding transcriptional regulator UME6(UME6)	Saccharomyces cerevisiae S288C		GO:0001081~nitrogen catabolite repression of transcription from RNA polymerase II promoter,GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007070~negative regulation of transcription from RNA polymerase II promoter during mitosis,GO:0007124~pseudohyphal growth,GO:0009847~spore germination,GO:0010673~positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle,GO:0010674~negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle,GO:0016569~covalent chromatin modification,GO:0034389~lipid particle organization,GO:1900471~negative regulation of inositol biosynthetic process by negative regulation of transcription from RNA polymerase II promoter,GO:1900472~positive regulation of phosphatidylcholine biosynthetic process by positive regulation of transcription from RNA polymerase II promoter,GO:1900475~positive regulation of meiosis by negative regulation of transcription from RNA polymerase II promoter,GO:1900476~positive regulation of meiosis by positive regulation of transcription from RNA polymerase II promoter,GO:1900525~positive regulation of phosphatidylserine biosynthetic process by positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0033698~Rpd3L complex,GO:0070210~Rpd3L-Expanded complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0000989~transcription factor activity, transcription factor binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,GO:0070491~repressing transcription factor binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,	sce04113:Meiosis - yeast,	SM00066:GAL4,	Activator,Chromatin regulator,Complete proteome,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Repressor,Transcription,Transcription regulation,Zinc,	chain:Transcriptional regulatory protein UME6,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,mutagenesis site,region of interest:SIN3-binding,sequence conflict,
YIR023W	Dal81p(DAL81)	Saccharomyces cerevisiae S288C		GO:0001080~nitrogen catabolite activation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0045848~positive regulation of nitrogen utilization,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051123~RNA polymerase II transcriptional preinitiation complex assembly,GO:1901714~positive regulation of urea catabolic process,GO:1901717~positive regulation of gamma-aminobutyric acid catabolic process,	GO:0005634~nucleus,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001128~RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly,GO:0001135~transcription factor activity, RNA polymerase II transcription factor recruiting,GO:0001190~transcriptional activator activity, RNA polymerase II transcription factor binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR007219:Transcription factor, fungi,		SM00066:GAL4,SM00906:SM00906,	Activator,Complete proteome,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Transcriptional activator protein DAL81,compositionally biased region:Asn-rich,compositionally biased region:Poly-Gln,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,sequence conflict,
YBR239C	Ert1p(ERT1)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006094~gluconeogenesis,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0015976~carbon utilization,GO:0035948~positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter,GO:0061414~positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source,GO:0061415~negative regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR000014:PAS domain,IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR013767:PAS fold,		SM00066:GAL4,SM00091:PAS,	Activator,Complete proteome,Cytoplasm,DNA-binding,Gluconeogenesis,Metal-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Uncharacterized transcriptional regulatory protein YBR239C,DNA-binding region:Zn(2)-C6 fungal-type,domain:PAS,
YPR104C	Fhl1p(FHL1)	Saccharomyces cerevisiae S288C	Transcription,	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0010688~negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter,GO:0060963~positive regulation of ribosomal protein gene transcription from RNA polymerase II promoter,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005730~nucleolus,GO:0032545~CURI complex,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001046~core promoter sequence-specific DNA binding,GO:0001225~RNA polymerase II transcription coactivator binding,GO:0001226~RNA polymerase II transcription corepressor binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR000253:Forkhead-associated (FHA) domain,IPR001766:Transcription factor, fork head,IPR008984:SMAD/FHA domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR018122:Transcription factor, fork head, conserved site,		SM00240:FHA,SM00339:FH,	Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Pre-rRNA-processing protein FHL1,compositionally biased region:Ser-rich,DNA-binding region:Fork-head,domain:FHA,modified residue,
YLR013W	Gat3p(GAT3)	Saccharomyces cerevisiae S288C	Transcription,	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0030154~cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005667~transcription factor complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001085~RNA polymerase II transcription factor binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR000679:Zinc finger, GATA-type,IPR013088:Zinc finger, NHR/GATA-type,		SM00401:ZnF_GATA,	Complete proteome,DNA-binding,Metal-binding,Reference proteome,Zinc,Zinc-finger,	chain:Protein GAT3,zinc finger region:GATA-type,
YJL103C	Gsm1p(GSM1)	Saccharomyces cerevisiae S288C		GO:0000429~carbon catabolite regulation of transcription from RNA polymerase II promoter,GO:0006119~oxidative phosphorylation,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0015976~carbon utilization,GO:0030435~sporulation resulting in formation of a cellular spore,GO:0045722~positive regulation of gluconeogenesis,GO:0072364~regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,		SM00066:GAL4,	Complete proteome,DNA-binding,Metal-binding,Nucleus,Reference proteome,Sporulation,Transcription,Transcription regulation,Zinc,	chain:Glucose starvation modulator protein 1,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,sequence conflict,
YOL089C	Hal9p(HAL9)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0009651~response to salt stress,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR007219:Transcription factor, fungi,		SM00066:GAL4,SM00906:SM00906,	Complete proteome,Cytoplasm,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Halotolerance protein 9,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,
